,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,barra,fecha
0,21.71,20.54,19.7,19.19,19.04,19.07,20.1,20.94,23.67,26.61,28.19,30.87,32.22,32.38,32.42,32.53,32.15,31.7,31.42,33.51,33.24,31.87,28.54,25.68,POBLADO1,02-01-2025
1,23.19,21.47,20.43,19.84,19.78,19.76,20.77,21.88,24.44,27.4,29.28,31.15,32.43,33.25,32.35,32.42,32.24,31.73,31.16,33.38,33.28,31.7,28.36,25.7,POBLADO1,03-01-2025
2,22.85,21.12,20.06,19.38,19.16,19.4,21.11,23.14,26.91,30.43,32.07,34.46,35.38,36.76,36.62,37,35.2,35.32,34.62,37.01,36.58,34.4,30.31,26.7,POBLADO1,07-01-2025
3,23.65,21.7,20.58,20.05,19.84,19.91,21.75,24.21,27.65,31.12,33.4,35.65,36.7,37.06,36.48,37.18,37.53,37.53,36.93,38.19,37.35,35,30.76,27.11,POBLADO1,08-01-2025
4,24.08,22.16,21.01,20.44,20.07,20.14,21.9,24.74,27.86,31.32,33.27,35.16,37.21,37.71,37.36,37.9,38.01,37.01,36.44,37.66,37.45,35.25,30.85,27.14,POBLADO1,09-01-2025
5,24.14,22.17,20.94,20.31,19.93,20.03,21.89,24.68,28.02,31.08,33.48,36.01,37.09,37.9,36.74,36.75,37,36.59,35.5,37.4,37.02,35.04,31.19,28.24,POBLADO1,10-01-2025
6,23.78,21.94,20.86,20.1,19.79,19.96,22.1,25.1,28.58,32.25,34.09,36.25,37.76,38.94,38.55,39.15,39.65,38.63,37.05,39.05,38.65,35.19,31.31,27.39,POBLADO1,13-01-2025
7,24.22,22.09,21,20.34,20.12,20.22,22.33,25.45,29.04,32.55,34.37,36.67,38.52,39.33,38.99,39.55,39,37.89,36.4,38.72,38.87,36.42,31.83,27.81,POBLADO1,14-01-2025
8,24.45,22.34,21.01,20.43,20.16,20.38,22.62,25.67,28.93,32.29,34.54,36.5,38.18,39.17,38.89,38.95,39.02,38.51,36.78,38.83,39.06,36.65,32.34,28.12,POBLADO1,15-01-2025
9,24.84,22.68,21.36,20.73,20.5,20.49,22.78,26.02,29.62,32.79,34.41,36.89,38.46,39.33,38.75,39.69,39.36,38.37,37.08,39.38,39.6,37.18,32.66,28.65,POBLADO1,16-01-2025
10,25.43,23.16,21.81,21.11,20.87,20.72,22.91,26.15,29.65,33.52,35.36,37.71,39.19,40.22,39.31,39.27,39.64,38.34,36.9,38.38,38.1,35.8,31.99,28.67,POBLADO1,17-01-2025
11,23.33,21.66,20.64,20.02,19.7,19.88,22.4,25.98,29.44,32.65,34.49,36.75,38.55,39.59,38.67,38.81,38.41,37.79,36.24,38.52,39.12,35.7,31.52,27.38,POBLADO1,20-01-2025
12,24.23,22.04,20.81,19.99,19.88,20.28,22.93,26.69,30.2,33.36,35.14,37.29,39.33,40.33,39.41,39.72,39.68,39.15,37.42,39.47,39.81,36.89,32.33,28.03,POBLADO1,21-01-2025
13,24.63,22.52,21.21,20.5,20.21,20.39,23.21,26.57,29.96,33.05,34.69,37.15,38.88,39.79,38.92,39.04,39,38.13,36.33,38.74,39.24,36.84,32.25,27.88,POBLADO1,22-01-2025
14,24.49,22.39,21.22,20.54,20.16,20.36,23.12,26.57,29.85,32.7,34.36,36.61,38.46,38.89,38.23,39.02,39.06,38.22,36.75,39,39.38,37.07,32.65,28.57,POBLADO1,23-01-2025
15,25.34,23.23,21.85,21.1,20.78,20.93,23.52,27,30.28,33.54,35.85,38.03,39.66,40.26,39.22,37.74,37.84,36.81,35.98,38.61,38.21,35.87,31.79,28.48,POBLADO1,24-01-2025
16,23.67,21.83,20.73,20.1,19.92,20.25,23.16,26.53,30.08,33.53,35.53,37.69,40.03,40.54,39.9,39.94,39.6,38.48,37.31,39.72,39.64,35.87,31.87,28.04,POBLADO1,27-01-2025
17,24.62,22.58,21.42,20.92,20.65,20.9,24.11,27.68,31.05,34.04,36.03,38.84,40.41,41.2,39.82,40.16,39.88,39.68,38.11,40.23,40.4,37.85,33.38,29.22,POBLADO1,28-01-2025
18,25.67,23.25,21.93,21.26,21.03,21.24,23.98,27.5,31.17,34.36,36.36,38.67,40.39,41.3,40.24,40.39,40.72,40.32,38.79,40.21,40.49,38.09,33.54,29.5,POBLADO1,29-01-2025
19,26.17,23.91,22.49,21.57,21.15,21.47,24.4,27.9,31.13,34.25,36.83,39.43,40.59,41.11,40.03,40.45,-762.86,-749.1,-724.02,-764.46,-763.83,-714.87,-631.81,30.08,POBLADO1,30-01-2025
20,-483.49,-443.78,-420.06,-406.92,-401.74,-404.78,-450.09,-509.4,-576.53,-641.84,-680.74,-726.78,-758.44,-774.06,-759.9,-764.66,40.87,39.9,37.81,39.45,39.34,37.19,33.34,-557.39,POBLADO1,31-01-2025
